Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:39:40.382000,25.0,,2018,Abu Dhabi Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,3.0,2.0,Finished,0 days 00:00:02.581000,18.0,,2018,Abu Dhabi Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,6.0,3.0,Finished,0 days 00:00:12.706000,15.0,,2018,Abu Dhabi Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,5.0,4.0,Finished,0 days 00:00:15.379000,12.0,,2018,Abu Dhabi Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,5.0,Finished,0 days 00:00:47.957000,10.0,,2018,Abu Dhabi Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,11.0,6.0,Finished,0 days 00:01:12.548000,8.0,,2018,Abu Dhabi Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,8.0,7.0,Finished,0 days 00:01:30.789000,6.0,,2018,Abu Dhabi Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,14.0,8.0,Finished,0 days 00:01:31.275000,4.0,,2018,Abu Dhabi Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,7.0,9.0,+1 Lap,,2.0,,2018,Abu Dhabi Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,13.0,10.0,+1 Lap,,1.0,,2018,Abu Dhabi Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,15.0,11.0,+1 Lap,,0.0,,2018,Abu Dhabi Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,16.0,12.0,+1 Lap,,0.0,,2018,Abu Dhabi Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,20.0,13.0,+1 Lap,,0.0,,2018,Abu Dhabi Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,18.0,14.0,+1 Lap,,0.0,,2018,Abu Dhabi Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,19.0,15.0,+1 Lap,,0.0,,2018,Abu Dhabi Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,17.0,16.0,Engine,,0.0,,2018,Abu Dhabi Grand Prix,R
OCO,Esteban Ocon,Racing Point,f596c8,9.0,17.0,Engine,,0.0,,2018,Abu Dhabi Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,12.0,18.0,Power loss,,0.0,,2018,Abu Dhabi Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,4.0,19.0,Power loss,,0.0,,2018,Abu Dhabi Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,10.0,20.0,Collision,,0.0,,2018,Abu Dhabi Grand Prix,R
