Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
VET,Sebastian Vettel,Ferrari,DC0000,1.0,1.0,Finished,0 days 01:32:01.940000,25.0,,2018,Bahrain Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,3.0,2.0,Finished,0 days 00:00:00.699000,18.0,,2018,Bahrain Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00D2BE,9.0,3.0,Finished,0 days 00:00:06.512000,15.0,,2018,Bahrain Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,5.0,4.0,Finished,0 days 00:01:02.234000,12.0,,2018,Bahrain Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,6.0,5.0,Finished,0 days 00:01:15.046000,10.0,,2018,Bahrain Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,7.0,6.0,Finished,0 days 00:01:39.024000,8.0,,2018,Bahrain Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,13.0,7.0,+1 Lap,,6.0,,2018,Bahrain Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,14.0,8.0,+1 Lap,,4.0,,2018,Bahrain Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,17.0,9.0,+1 Lap,,2.0,,2018,Bahrain Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,8.0,10.0,+1 Lap,,1.0,,2018,Bahrain Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,10.0,11.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,19.0,12.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,16.0,13.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,20.0,14.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,18.0,15.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
PER,Sergio Perez,Force India,F596C8,12.0,16.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,11.0,17.0,+1 Lap,,0.0,,2018,Bahrain Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,2.0,18.0,Wheel,,0.0,,2018,Bahrain Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,15.0,19.0,Puncture,,0.0,,2018,Bahrain Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,4.0,20.0,Electrical,,0.0,,2018,Bahrain Grand Prix,R
