Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:27:09.066000,25.0,,2018,Brazilian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,5.0,2.0,Finished,0 days 00:00:01.469000,18.0,,2018,Brazilian Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,4.0,3.0,Finished,0 days 00:00:04.764000,15.0,,2018,Brazilian Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,11.0,4.0,Finished,0 days 00:00:05.193000,12.0,,2018,Brazilian Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,3.0,5.0,Finished,0 days 00:00:22.943000,10.0,,2018,Brazilian Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,2.0,6.0,Finished,0 days 00:00:26.997000,8.0,,2018,Brazilian Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,7.0,7.0,Finished,0 days 00:00:44.199000,6.0,,2018,Brazilian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,8.0,8.0,Finished,0 days 00:00:51.230000,4.0,,2018,Brazilian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,10.0,9.0,Finished,0 days 00:00:52.857000,2.0,,2018,Brazilian Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,12.0,10.0,+1 Lap,,1.0,,2018,Brazilian Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,16.0,11.0,+1 Lap,,0.0,,2018,Brazilian Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,15.0,12.0,+1 Lap,,0.0,,2018,Brazilian Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,9.0,13.0,+1 Lap,,0.0,,2018,Brazilian Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,20.0,14.0,+1 Lap,,0.0,,2018,Brazilian Grand Prix,R
OCO,Esteban Ocon,Racing Point,f596c8,18.0,15.0,+1 Lap,,0.0,,2018,Brazilian Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,14.0,16.0,+2 Laps,,0.0,,2018,Brazilian Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,17.0,17.0,+2 Laps,,0.0,,2018,Brazilian Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,19.0,18.0,+2 Laps,,0.0,,2018,Brazilian Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,13.0,19.0,Overheating,,0.0,,2018,Brazilian Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,6.0,20.0,Collision,,0.0,,2018,Brazilian Grand Prix,R
