Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
VET,Sebastian Vettel,Ferrari,DC0000,1.0,1.0,Finished,0 days 01:28:31.377000,25.0,,2018,Canadian Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,2.0,Finished,0 days 00:00:07.376000,18.0,,2018,Canadian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,3.0,3.0,Finished,0 days 00:00:08.360000,15.0,,2018,Canadian Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,6.0,4.0,Finished,0 days 00:00:20.892000,12.0,,2018,Canadian Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00D2BE,4.0,5.0,Finished,0 days 00:00:21.559000,10.0,,2018,Canadian Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,5.0,6.0,Finished,0 days 00:00:27.184000,8.0,,2018,Canadian Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,7.0,7.0,+1 Lap,,6.0,,2018,Canadian Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,9.0,8.0,+1 Lap,,4.0,,2018,Canadian Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,8.0,9.0,+1 Lap,,2.0,,2018,Canadian Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,13.0,10.0,+1 Lap,,1.0,,2018,Canadian Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,16.0,11.0,+1 Lap,,0.0,,2018,Canadian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,20.0,12.0,+1 Lap,,0.0,,2018,Canadian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,11.0,13.0,+1 Lap,,0.0,,2018,Canadian Grand Prix,R
PER,Sergio Perez,Force India,F596C8,10.0,14.0,+1 Lap,,0.0,,2018,Canadian Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,19.0,15.0,+2 Laps,,0.0,,2018,Canadian Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,15.0,16.0,+2 Laps,,0.0,,2018,Canadian Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,18.0,17.0,+2 Laps,,0.0,,2018,Canadian Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,14.0,18.0,Exhaust,,0.0,,2018,Canadian Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,12.0,19.0,Collision,,0.0,,2018,Canadian Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,17.0,20.0,Collision,,0.0,,2018,Canadian Grand Prix,R
