Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,6.0,1.0,Finished,0 days 01:35:36.380000,25.0,,2018,Chinese Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,3.0,2.0,Finished,0 days 00:00:08.894000,18.0,,2018,Chinese Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,2.0,3.0,Finished,0 days 00:00:09.637000,15.0,,2018,Chinese Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00D2BE,4.0,4.0,Finished,0 days 00:00:16.985000,12.0,,2018,Chinese Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,5.0,5.0,Finished,0 days 00:00:20.436000,10.0,,2018,Chinese Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,7.0,6.0,Finished,0 days 00:00:21.052000,8.0,,2018,Chinese Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,13.0,7.0,Finished,0 days 00:00:30.639000,6.0,,2018,Chinese Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,1.0,8.0,Finished,0 days 00:00:35.286000,4.0,,2018,Chinese Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,9.0,9.0,Finished,0 days 00:00:35.763000,2.0,,2018,Chinese Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,11.0,10.0,Finished,0 days 00:00:39.594000,1.0,,2018,Chinese Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,12.0,11.0,Finished,0 days 00:00:44.050000,0.0,,2018,Chinese Grand Prix,R
PER,Sergio Perez,Force India,F596C8,8.0,12.0,Finished,0 days 00:00:44.725000,0.0,,2018,Chinese Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,14.0,13.0,Finished,0 days 00:00:49.373000,0.0,,2018,Chinese Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,18.0,14.0,Finished,0 days 00:00:55.490000,0.0,,2018,Chinese Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,16.0,15.0,Finished,0 days 00:00:58.241000,0.0,,2018,Chinese Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,20.0,16.0,Finished,0 days 00:01:02.604000,0.0,,2018,Chinese Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,10.0,17.0,Finished,0 days 00:01:05.296000,0.0,,2018,Chinese Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,17.0,18.0,Finished,0 days 00:01:06.330000,0.0,,2018,Chinese Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,19.0,19.0,Finished,0 days 00:01:22.575000,0.0,,2018,Chinese Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,15.0,20.0,Collision damage,,0.0,,2018,Chinese Grand Prix,R
