Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:30:11.385000,25.0,,2018,French Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,4.0,2.0,Finished,0 days 00:00:07.090000,18.0,,2018,French Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,6.0,3.0,Finished,0 days 00:00:25.888000,15.0,,2018,French Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,5.0,4.0,Finished,0 days 00:00:34.736000,12.0,,2018,French Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,3.0,5.0,Finished,0 days 00:01:01.935000,10.0,,2018,French Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,9.0,6.0,Finished,0 days 00:01:19.364000,8.0,,2018,French Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,7.0,Finished,0 days 00:01:20.632000,6.0,,2018,French Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,7.0,8.0,Finished,0 days 00:01:27.184000,4.0,,2018,French Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,12.0,9.0,Finished,0 days 00:01:31.989000,2.0,,2018,French Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,8.0,10.0,Finished,0 days 00:01:33.873000,1.0,,2018,French Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,10.0,11.0,+1 Lap,,0.0,,2018,French Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,17.0,12.0,+1 Lap,,0.0,,2018,French Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,15.0,13.0,+1 Lap,,0.0,,2018,French Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,20.0,14.0,+1 Lap,,0.0,,2018,French Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,18.0,15.0,+1 Lap,,0.0,,2018,French Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,16.0,16.0,Wheel,,0.0,,2018,French Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,19.0,17.0,Puncture,,0.0,,2018,French Grand Prix,R
PER,Sergio Perez,Force India,F596C8,13.0,18.0,Engine,,0.0,,2018,French Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,11.0,19.0,Collision,,0.0,,2018,French Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,14.0,20.0,Collision,,0.0,,2018,French Grand Prix,R
