Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,14.0,1.0,Finished,0 days 01:32:29.845000,25.0,,2018,German Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,2.0,Finished,0 days 00:00:04.535000,18.0,,2018,German Grand Prix,R
RAI,Kimi Räikkönen,Ferrari,DC0000,3.0,3.0,Finished,0 days 00:00:06.732000,15.0,,2018,German Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,4.0,4.0,Finished,0 days 00:00:07.654000,12.0,,2018,German Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,7.0,5.0,Finished,0 days 00:00:26.609000,10.0,,2018,German Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,6.0,6.0,Finished,0 days 00:00:28.871000,8.0,,2018,German Grand Prix,R
PER,Sergio Perez,Force India,F596C8,10.0,7.0,Finished,0 days 00:00:30.556000,6.0,,2018,German Grand Prix,R
OCO,Esteban Ocon,Force India,F596C8,15.0,8.0,Finished,0 days 00:00:31.750000,4.0,,2018,German Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,13.0,9.0,Finished,0 days 00:00:32.362000,2.0,,2018,German Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,17.0,10.0,Finished,0 days 00:00:34.197000,1.0,,2018,German Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,5.0,11.0,Finished,0 days 00:00:34.919000,0.0,,2018,German Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,8.0,12.0,Finished,0 days 00:00:43.069000,0.0,,2018,German Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,19.0,13.0,Finished,0 days 00:00:46.617000,0.0,,2018,German Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,16.0,14.0,+1 Lap,,0.0,,2018,German Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,9.0,15.0,+1 Lap,,0.0,,2018,German Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,11.0,16.0,Retired,,0.0,,2018,German Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,18.0,17.0,Engine,,0.0,,2018,German Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,1.0,18.0,Accident,,0.0,,2018,German Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,12.0,19.0,Engine,,0.0,,2018,German Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,20.0,20.0,Engine,,0.0,,2018,German Grand Prix,R
