Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
RAI,Kimi Räikkönen,Ferrari,DC0000,2.0,1.0,Finished,0 days 01:34:18.643000,25.0,,2018,United States Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,18.0,2.0,Finished,0 days 00:00:01.281000,18.0,,2018,United States Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,3.0,Finished,0 days 00:00:02.342000,15.0,,2018,United States Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,5.0,4.0,Finished,0 days 00:00:18.222000,12.0,,2018,United States Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,3.0,5.0,Finished,0 days 00:00:24.744000,10.0,,2018,United States Grand Prix,R
HUL,Nico Hulkenberg,Renault,FFF500,7.0,6.0,Finished,0 days 00:01:27.210000,8.0,,2018,United States Grand Prix,R
SAI,Carlos Sainz,Renault,FFF500,11.0,7.0,Finished,0 days 00:01:34.994000,6.0,,2018,United States Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,10.0,8.0,Finished,0 days 00:01:41.080000,4.0,,2018,United States Grand Prix,R
HAR,Brendon Hartley,Toro Rosso,469BFF,20.0,9.0,+1 Lap,,2.0,,2018,United States Grand Prix,R
ERI,Marcus Ericsson,Sauber,9B0000,16.0,10.0,+1 Lap,,1.0,,2018,United States Grand Prix,R
VAN,Stoffel Vandoorne,McLaren,FF8700,17.0,11.0,+1 Lap,,0.0,,2018,United States Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469BFF,19.0,12.0,+1 Lap,,0.0,,2018,United States Grand Prix,R
SIR,Sergey Sirotkin,Williams,FFFFFF,14.0,13.0,+1 Lap,,0.0,,2018,United States Grand Prix,R
STR,Lance Stroll,Williams,FFFFFF,15.0,14.0,+2 Laps,,0.0,,2018,United States Grand Prix,R
LEC,Charles Leclerc,Sauber,9B0000,9.0,15.0,Collision damage,,0.0,,2018,United States Grand Prix,R
RIC,Daniel Ricciardo,Red Bull Racing,1E41FF,4.0,16.0,Battery,,0.0,,2018,United States Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,828282,8.0,17.0,Collision damage,,0.0,,2018,United States Grand Prix,R
ALO,Fernando Alonso,McLaren,FF8700,13.0,18.0,Collision,,0.0,,2018,United States Grand Prix,R
OCO,Esteban Ocon,Racing Point,f596c8,6.0,19.0,Disqualified,,0.0,,2018,United States Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,828282,12.0,20.0,Disqualified,,0.0,,2018,United States Grand Prix,R
