Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
BOT,Valtteri Bottas,Mercedes,00d2be,2.0,1.0,Finished,0 days 01:25:27.325000,26.0,,2019,Australian Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00d2be,1.0,2.0,Finished,0 days 00:00:20.886000,18.0,,2019,Australian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1e41ff,4.0,3.0,Finished,0 days 00:00:22.520000,15.0,,2019,Australian Grand Prix,R
VET,Sebastian Vettel,Ferrari,dc0000,3.0,4.0,Finished,0 days 00:00:57.109000,12.0,,2019,Australian Grand Prix,R
LEC,Charles Leclerc,Ferrari,dc0000,5.0,5.0,Finished,0 days 00:00:58.203000,10.0,,2019,Australian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,bd9e57,7.0,6.0,Finished,0 days 00:01:27.156000,8.0,,2019,Australian Grand Prix,R
HUL,Nico Hulkenberg,Renault,fff500,11.0,7.0,+1 Lap,,6.0,,2019,Australian Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9b0000,9.0,8.0,+1 Lap,,4.0,,2019,Australian Grand Prix,R
STR,Lance Stroll,Racing Point,f596c8,16.0,9.0,+1 Lap,,2.0,,2019,Australian Grand Prix,R
KVY,Daniil Kvyat,Toro Rosso,469bff,15.0,10.0,+1 Lap,,1.0,,2019,Australian Grand Prix,R
GAS,Pierre Gasly,Red Bull Racing,1e41ff,17.0,11.0,+1 Lap,,0.0,,2019,Australian Grand Prix,R
NOR,Lando Norris,McLaren,ff8700,8.0,12.0,+1 Lap,,0.0,,2019,Australian Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,10.0,13.0,+1 Lap,,0.0,,2019,Australian Grand Prix,R
ALB,Alexander Albon,Toro Rosso,469bff,13.0,14.0,+1 Lap,,0.0,,2019,Australian Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9b0000,14.0,15.0,+1 Lap,,0.0,,2019,Australian Grand Prix,R
RUS,George Russell,Williams,ffffff,19.0,16.0,+2 Laps,,0.0,,2019,Australian Grand Prix,R
KUB,Robert Kubica,Williams,ffffff,20.0,17.0,+3 Laps,,0.0,,2019,Australian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,bd9e57,6.0,18.0,Wheel,,0.0,,2019,Australian Grand Prix,R
RIC,Daniel Ricciardo,Renault,fff500,12.0,19.0,Damage,,0.0,,2019,Australian Grand Prix,R
SAI,Carlos Sainz,McLaren,ff8700,18.0,20.0,Engine,,0.0,,2019,Australian Grand Prix,R
