Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
VER,Max Verstappen,Red Bull Racing,1E41FF,4.0,1.0,Finished,0 days 01:19:41.993000,25.0,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00D2BE,2.0,2.0,Finished,0 days 00:00:11.326000,19.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,1.0,3.0,Finished,0 days 00:00:19.231000,15.0,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
LEC,Charles Leclerc,Ferrari,DC0000,8.0,4.0,Finished,0 days 00:00:29.289000,12.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
ALB,Alexander Albon,Red Bull Racing,1E41FF,9.0,5.0,Finished,0 days 00:00:39.146000,10.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
STR,Lance Stroll,Racing Point,F596C8,6.0,6.0,Finished,0 days 00:00:42.538000,8.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
HUL,Nico Hulkenberg,Racing Point,F596C8,3.0,7.0,Finished,0 days 00:00:55.951000,6.0,None,2020,70th Anniversary Grand Prix,R
OCO,Esteban Ocon,Renault,FFF500,14.0,8.0,Finished,0 days 00:01:04.773000,4.0,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
NOR,Lando Norris,McLaren,FF8700,10.0,9.0,Finished,0 days 00:01:05.544000,2.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
KVY,Daniil Kvyat,AlphaTauri,ffffff,16.0,10.0,Finished,0 days 00:01:09.669000,1.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
GAS,Pierre Gasly,AlphaTauri,ffffff,7.0,11.0,Finished,0 days 00:01:10.642000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,11.0,12.0,Finished,0 days 00:01:13.370000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
SAI,Carlos Sainz,McLaren,FF8700,12.0,13.0,Finished,0 days 00:01:14.070000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
RIC,Daniel Ricciardo,Renault,FFF500,5.0,14.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9B0000,20.0,15.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,787878,13.0,16.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9B0000,19.0,17.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
RUS,George Russell,Williams,0082fa,15.0,18.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
LAT,Nicholas Latifi,Williams,0082fa,18.0,19.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/N/NICLAF01_Nicholas_Latifi/niclaf01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,787878,17.0,20.0,Retired,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png,2020,70th Anniversary Grand Prix,R
