position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,1,11,8.0,False,False,False,1498.433,0.0,1216,9140
2.0,81,11,7.0,False,False,False,1505.11,6.677,1216,9140
3.0,10,11,6.0,False,False,False,1509.166,10.733,1216,9140
4.0,55,11,5.0,False,False,False,1511.081,12.648,1216,9140
5.0,16,11,4.0,False,False,False,1513.449,15.016,1216,9140
6.0,4,11,3.0,False,False,False,1514.485,16.052,1216,9140
7.0,44,11,2.0,False,False,False,1515.19,16.757,1216,9140
8.0,63,11,1.0,False,False,False,1515.255,16.822,1216,9140
9.0,31,11,0.0,False,False,False,1520.843,22.41,1216,9140
10.0,3,11,0.0,False,False,False,1521.239,22.806,1216,9140
11.0,18,11,0.0,False,False,False,1523.44,25.007,1216,9140
12.0,23,11,0.0,False,False,False,1524.736,26.303,1216,9140
13.0,77,11,0.0,False,False,False,1525.439,27.006,1216,9140
14.0,20,11,0.0,False,False,False,1531.419,32.986,1216,9140
15.0,24,11,0.0,False,False,False,1534.775,36.342,1216,9140
16.0,2,11,0.0,False,False,False,1536.004,37.571,1216,9140
17.0,27,11,0.0,False,False,False,1536.26,37.827,1216,9140
18.0,22,11,0.0,False,False,False,1537.7,39.267,1216,9140
,11,8,0.0,True,False,False,,,1216,9140
,14,2,0.0,True,False,False,,,1216,9140
